Simple
3
12
0	-1	3	-1	-1	-1	-1	-1	4
1	-1	4	-1	2	-1	-1	-1	-1
2	-1	5	1	-1	-1	-1	-1	-1
3	0	6	-1	-1	-1	-1	-1	-1
4	1	-1	-1	-1	0	-1	-1	8
5	2	8	-1	-1	-1	-1	-1	-1
6	3	9	-1	7	-1	-1	-1	-1
7	-1	-1	6	8	-1	-1	9	11
8	5	11	7	-1	4	-1	-1	-1
9	6	-1	-1	10	-1	7	-1	-1
10	-1	-1	9	11	-1	-1	-1	-1
11	8	-1	10	-1	7	-1	-1	-1
Tower
8
48
0	-1	8	-1	1	-1	-1	-1	-1
1	-1	9	0	2	-1	-1	-1	-1
2	-1	-1	1	3	-1	-1	9	11
3	-1	-1	2	4	-1	-1	-1	-1
4	-1	-1	3	5	-1	-1	-1	-1
5	-1	-1	4	6	-1	-1	12	14
6	-1	-1	5	7	-1	-1	-1	-1
7	-1	15	6	-1	-1	-1	-1	-1
8	0	-1	-1	9	-1	-1	-1	-1
9	1	17	8	-1	-1	2	-1	-1
10	-1	-1	-1	11	-1	-1	17	-1
11	-1	-1	10	12	2	-1	18	-1
12	-1	-1	11	13	-1	5	-1	21
13	-1	-1	12	-1	-1	-1	-1	22
14	-1	22	-1	15	5	-1	-1	-1
15	7	23	14	-1	-1	-1	-1	-1
16	-1	24	-1	17	-1	-1	-1	-1
17	9	25	16	-1	-1	10	-1	-1
18	-1	26	-1	19	-1	11	-1	-1
19	-1	-1	18	20	-1	-1	-1	-1
20	-1	-1	19	21	-1	-1	-1	-1
21	-1	29	20	-1	12	-1	-1	-1
22	14	30	-1	-1	13	-1	-1	-1
23	15	31	-1	-1	-1	-1	-1	-1
24	16	-1	-1	25	-1	-1	-1	-1
25	17	-1	24	-1	-1	-1	-1	34
26	18	-1	-1	27	-1	-1	-1	35
27	-1	-1	26	28	-1	-1	-1	-1
28	-1	-1	27	29	-1	-1	-1	-1
29	21	-1	28	-1	-1	-1	36	-1
30	22	-1	-1	31	-1	-1	37	-1
31	23	39	30	-1	-1	-1	38	-1
32	-1	40	-1	33	-1	-1	-1	-1
33	-1	-1	32	-1	-1	-1	-1	42
34	-1	-1	-1	35	25	-1	-1	-1
35	-1	-1	34	36	26	-1	42	44
36	-1	-1	35	37	-1	29	-1	-1
37	-1	-1	36	-1	-1	30	44	-1
38	-1	46	-1	-1	-1	31	-1	-1
39	31	47	-1	-1	-1	-1	-1	-1
40	32	-1	-1	41	-1	-1	-1	-1
41	-1	-1	40	42	-1	-1	-1	-1
42	-1	-1	41	43	33	35	-1	-1
43	-1	-1	42	44	-1	-1	-1	-1
44	-1	-1	43	45	35	37	-1	-1
45	-1	-1	44	46	-1	-1	-1	-1
46	38	-1	45	47	-1	-1	-1	-1
47	39	-1	46	-1	-1	-1	-1	-1
